Prompt,Expected Intent,Detected Intent,Intent Match?,Attempts Needed,Success Status,Generation Time (s)
Write a JavaScript function to add two numbers.,Math_Operation,Sorting,No,1,Pass,33.84
Write a JavaScript function to subtract two numbers.,Math_Operation,Sorting,No,1,Pass,20.46
Write a JavaScript function to multiply two numbers.,Math_Operation,Sorting,No,1,Pass,20.86
Write a JavaScript function to divide two numbers.,Math_Operation,Sorting,No,3,Fail,62.41
Write a JS function to calculate the square of a number.,Math_Operation,Math_Operation,Yes,1,Pass,20.72
Create a JavaScript function to find the cube of a number.,Math_Operation,Math_Operation,Yes,1,Pass,20.69
Write a JavaScript function to find the remainder of two numbers.,Math_Operation,Math_Operation,Yes,1,Pass,20.84
Create a JS function that returns true if a number is even.,Math_Operation,UI_Component,No,1,Pass,21.35
Create a JS function that returns true if a number is odd.,Math_Operation,UI_Component,No,1,Pass,21.26
Write a JavaScript function to calculate the area of a rectangle.,Math_Operation,Math_Operation,Yes,1,Pass,21.46
Write a JavaScript function to calculate the perimeter of a square.,Math_Operation,Math_Operation,Yes,2,Pass,41.46
Write a JS function to convert Celsius to Fahrenheit.,Math_Operation,Math_Operation,Yes,1,Pass,20.64
Write a JS function to convert Fahrenheit to Celsius.,Math_Operation,Math_Operation,Yes,1,Pass,20.32
Create a JS function to calculate simple interest.,Math_Operation,UI_Component,No,1,Pass,21.18
Write a JavaScript function to find the maximum of two numbers.,Math_Operation,Math_Operation,Yes,3,Fail,62.61
Write a JavaScript function to find the minimum of two numbers.,Math_Operation,Math_Operation,Yes,3,Pass,62.58
Create a JS function to generate a random number between 1 and 10.,Math_Operation,UI_Component,No,1,Pass,21.59
Write a JavaScript function to calculate the factorial of 5.,Math_Operation,Math_Operation,Yes,3,Pass,61.55
Write a JavaScript function to reverse a string.,String_Manipulation,String_Manipulation,Yes,3,Fail,58.33
Create a JS function to convert a string to uppercase.,String_Manipulation,String_Manipulation,Yes,2,Pass,42.17
Create a JS function to convert a string to lowercase.,String_Manipulation,String_Manipulation,Yes,1,Pass,19.59
Write a JavaScript function to find the length of a string.,String_Manipulation,String_Manipulation,Yes,3,Fail,61.68
Write a JS function to concatenate two strings.,String_Manipulation,Math_Operation,No,1,Pass,20.45
Create a JavaScript function to check if a string is a palindrome.,String_Manipulation,String_Manipulation,Yes,3,Fail,64.7
Write a JS function to count the number of vowels in a word.,String_Manipulation,Math_Operation,No,3,Fail,62.5
Write a JS function to get the first character of a string.,String_Manipulation,String_Manipulation,Yes,1,Pass,20.0
Write a JS function to get the last character of a string.,String_Manipulation,String_Manipulation,Yes,1,Pass,19.55
Create a JavaScript function to remove spaces from a string.,String_Manipulation,String_Manipulation,Yes,3,Fail,58.98
Write a JS function to repeat a string 3 times.,String_Manipulation,String_Manipulation,Yes,3,Fail,74.39
Write a JavaScript function to replace a word in a string.,String_Manipulation,String_Manipulation,Yes,3,Fail,70.44
Create a JS function that splits a sentence into an array of words.,String_Manipulation,UI_Component,No,3,Fail,69.09
Write a JS function to capitalize the first letter of a string.,String_Manipulation,String_Manipulation,Yes,3,Fail,62.91
Write a JS function to check if a string contains a specific word.,String_Manipulation,String_Manipulation,Yes,1,Pass,17.54
Write a JavaScript function to sort an array of numbers in ascending order.,Sorting,Sorting,Yes,3,Fail,64.69
Write a JS function to sort an array of numbers in descending order.,Sorting,Sorting,Yes,3,Fail,51.26
Create a JS function to sort an array of strings alphabetically.,Sorting,Sorting,Yes,3,Fail,63.84
Write a JavaScript function to reverse an array.,Sorting,String_Manipulation,No,3,Pass,58.5
Write a JS function to find the largest number in an array.,Basic_Logic,Math_Operation,No,3,Fail,62.52
Write a JS function to find the smallest number in an array.,Basic_Logic,Math_Operation,No,1,Pass,20.93
Create a JavaScript function to return the first element of an array.,Basic_Logic,String_Manipulation,No,1,Pass,19.82
Create a JS function to return the last element of an array.,Basic_Logic,Math_Operation,No,3,Pass,62.28
Write a JS function to remove the first element of an array.,Basic_Logic,String_Manipulation,No,3,Fail,68.63
Write a JS function to add an element to the end of an array.,Basic_Logic,Math_Operation,No,3,Fail,63.67
